census_year,geo_name,category,sub_category,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2021,Tagish,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Children eligible for instruction in the minority official language,Eligible children who have not been instructed in the minority official language at the primary or secondary level in Canada,Eligibility and instruction in the minority official language for school-aged children,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001036'>View boundary on map</a>,,6001036
2021,Tagish,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,,Children not eligible for instruction in the minority official language,Eligibility and instruction in the minority official language for school-aged children,20,10,5,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001036'>View boundary on map</a>,,6001036
2021,Teslin,,,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,Children eligible for instruction in the minority official language,40,15,25,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001006'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote203'>203</a>,6001006
2021,Teslin,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,,Children eligible for instruction in the minority official language,Children eligible for instruction in the minority official language,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001006'>View boundary on map</a>,,6001006
2021,Teslin,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,,Children not eligible for instruction in the minority official language,Children eligible for instruction in the minority official language,35,20,20,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001006'>View boundary on map</a>,,6001006
2021,Teslin,,,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Eligibility and instruction in the minority official language for school-aged children,25,10,15,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001006'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote204'>204</a>,6001006
2021,Teslin,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,,Children eligible for instruction in the minority official language,Eligibility and instruction in the minority official language for school-aged children,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001006'>View boundary on map</a>,,6001006
2021,Teslin,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Children eligible for instruction in the minority official language,Eligible children who have been instructed in the minority official language at the primary or secondary level in Canada,Eligibility and instruction in the minority official language for school-aged children,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001006'>View boundary on map</a>,,6001006
2021,Teslin,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Children eligible for instruction in the minority official language,Eligible children who have not been instructed in the minority official language at the primary or secondary level in Canada,Eligibility and instruction in the minority official language for school-aged children,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001006'>View boundary on map</a>,,6001006
2021,Teslin,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,,Children not eligible for instruction in the minority official language,Eligibility and instruction in the minority official language for school-aged children,25,10,15,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001006'>View boundary on map</a>,,6001006
2021,Teslin Land,,,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,Children eligible for instruction in the minority official language,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001057'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote203'>203</a>,6001057
2021,Teslin Land,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,,Children eligible for instruction in the minority official language,Children eligible for instruction in the minority official language,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001057'>View boundary on map</a>,,6001057
2021,Teslin Land,Total - Eligibility for instruction in the minority official language for the population in private households born in 2003 or later - 100% data,,Children not eligible for instruction in the minority official language,Children eligible for instruction in the minority official language,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001057'>View boundary on map</a>,,6001057
2021,Teslin Land,,,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Eligibility and instruction in the minority official language for school-aged children,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001057'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote204'>204</a>,6001057
2021,Teslin Land,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,,Children eligible for instruction in the minority official language,Eligibility and instruction in the minority official language for school-aged children,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001057'>View boundary on map</a>,,6001057
2021,Teslin Land,Total - Eligibility and instruction in the minority official language; for the population in private households born between 2003 and 2015 (inclusive) - 100% data,Children eligible for instruction in the minority official language,Eligible children who have been instructed in the minority official language at the primary or secondary level in Canada,Eligibility and instruction in the minority official language for school-aged children,,,,x,x,x,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001057'>View boundary on map</a>,,6001057
